0.328	0.1906	0.1376	0.0992	0.0918	0.0755	0.046	0.027	0.0041	0.0001	0.0	0.0	0.0	0.0	0.0
0.8034	0.1576	0.0314	0.0059	0.0014	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5348	0.3299	0.1037	0.0237	0.0062	0.0014	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3235	0.3151	0.246	0.0818	0.0256	0.0065	0.0012	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1988	0.2333	0.2657	0.1891	0.0822	0.0245	0.0052	0.0011	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.1234	0.1633	0.2202	0.2177	0.1805	0.0723	0.0179	0.0043	0.0003	0.0	0.0	0.0	0.0	0.0	0.0
0.0774	0.1128	0.1721	0.1993	0.2218	0.1532	0.0491	0.0135	0.001	0.0	0.0	0.0	0.0	0.0	0.0
0.0494	0.0784	0.1334	0.1744	0.2249	0.201	0.1011	0.0346	0.0029	0.0	0.0	0.0	0.0	0.0	0.0
0.0321	0.0551	0.104	0.1513	0.2185	0.2229	0.1397	0.0693	0.0069	0.0001	0.0	0.0	0.0	0.0	0.0
0.0213	0.0393	0.0816	0.1315	0.2099	0.2368	0.1665	0.0994	0.0134	0.0002	0.0	0.0	0.0	0.0	0.0
0.0144	0.0283	0.0644	0.1141	0.1998	0.2461	0.1886	0.1242	0.0195	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001
0.0099	0.0206	0.0509	0.0987	0.1884	0.2513	0.2073	0.1466	0.025	0.0005	0.0001	0.0001	0.0002	0.0002	0.0001
0.0071	0.0153	0.0407	0.0856	0.1766	0.2531	0.2226	0.1669	0.0302	0.0007	0.0001	0.0002	0.0003	0.0003	0.0002
0.0053	0.0118	0.0333	0.075	0.1656	0.2524	0.2345	0.1846	0.0349	0.0008	0.0002	0.0003	0.0005	0.0006	0.0004
0.0044	0.0097	0.0285	0.0674	0.1566	0.2502	0.2425	0.1982	0.0387	0.0009	0.0002	0.0004	0.0007	0.0009	0.0008
0.0043	0.0093	0.027	0.0646	0.1526	0.2484	0.2452	0.2037	0.0404	0.001	0.0002	0.0004	0.0007	0.0011	0.0011
